"diff_otu_direct","diff_otu_mode","depth_mu","depth_theta","covariate_eff_sd","confounder_eff_sd","depth_conf_factor","transformation","mean_power","sd_power","mean_fdr","sd_fdr"
"unbalanced","rare",10000,5,0,0,0,"ALR",0,0,1,0
"unbalanced","rare",10000,5,0,0,0,"Additive (New)Power Ratio",0,0,1,NA
"unbalanced","rare",10000,5,0,0,0,"Additive Arcsine Ratio",0,0,1,0
"unbalanced","rare",10000,5,0,0,0,"Additive Logit Ratio",0,0,1,0
"unbalanced","rare",10000,5,0,0,0,"Additive New Logit Ratio",0,0,1,0
"unbalanced","rare",10000,5,0,0,0,"Additive Power Ratio",0.002,0.02,0.966666666666667,NA
"unbalanced","rare",10000,5,0,0,0,"Boxcox in Ratio - William",0,0,1,0
"unbalanced","rare",10000,5,0,0,0,"CLR",0.025,0.05,0.153846153846154,0.36794648440312
"unbalanced","rare",10000,5,0,0,0,"Centered (New)Power Ratio",0,0,NA,NA
"unbalanced","rare",10000,5,0,0,0,"Centered Arcsine Ratio",0.026,0.0524548868220603,0.185185185185185,0.39584739066357
"unbalanced","rare",10000,5,0,0,0,"Centered Logit Ratio",0.025,0.05,0.153846153846154,0.36794648440312
"unbalanced","rare",10000,5,0,0,0,"Centered New Logit Ratio",0.003,0.0171446607997765,0.75,0.452267016866645
"unbalanced","rare",10000,5,0,0,0,"Centered Power Ratio",0.001,0.01,0,NA
"unbalanced","rare",10000,5,0,0,0,"ILR",0.01,0.0301511344577764,0.696428571428571,0.437570855940217
"unbalanced","rare",10000,5,0,0,0,"New Boxcox in Ratio",0,0,1,0
"balanced","rare",10000,5,0,0,0,"ALR",0.021,0.0591095541679972,0.416666666666667,0.440082764382079
"balanced","rare",10000,5,0,0,0,"Additive (New)Power Ratio",0.001,0.01,0.833333333333333,0.288675134594813
"balanced","rare",10000,5,0,0,0,"Additive Arcsine Ratio",0.016,0.046536615322309,0.361111111111111,0.4791400248348
"balanced","rare",10000,5,0,0,0,"Additive Logit Ratio",0.021,0.0591095541679972,0.434210526315789,0.429055583761725
"balanced","rare",10000,5,0,0,0,"Additive New Logit Ratio",0.002,0.014070529413629,0.8,0.421637021355784
"balanced","rare",10000,5,0,0,0,"Additive Power Ratio",0.002,0.02,0,NA
"balanced","rare",10000,5,0,0,0,"Boxcox in Ratio - William",0.021,0.0591095541679972,0.425438596491228,0.439990474821584
"balanced","rare",10000,5,0,0,0,"CLR",0.009,0.0287623491264661,0.307692307692308,0.480384461415261
"balanced","rare",10000,5,0,0,0,"Centered (New)Power Ratio",0.001,0.01,0.5,0.707106781186548
"balanced","rare",10000,5,0,0,0,"Centered Arcsine Ratio",0.028,0.0533333333333333,0.0384615384615385,0.196116135138184
"balanced","rare",10000,5,0,0,0,"Centered Logit Ratio",0.01,0.0301511344577764,0.285714285714286,0.468807230938495
"balanced","rare",10000,5,0,0,0,"Centered New Logit Ratio",0.003,0.0171446607997765,0.7,0.483045891539648
"balanced","rare",10000,5,0,0,0,"Centered Power Ratio",0.002,0.014070529413629,0,0
"balanced","rare",10000,5,0,0,0,"ILR",0.003,0.0171446607997765,0.772727272727273,0.410099766132362
"balanced","rare",10000,5,0,0,0,"New Boxcox in Ratio",0.025,0.0625630994607957,0.382575757575758,0.426207505685714
"unbalanced","mix",10000,5,0,0,0,"ALR",0.036,0.070381356576407,0.0892857142857143,0.273982002266823
"unbalanced","mix",10000,5,0,0,0,"Additive (New)Power Ratio",0.001,0.01,0.833333333333333,0.288675134594813
"unbalanced","mix",10000,5,0,0,0,"Additive Arcsine Ratio",0.119,0.104151210974596,0.0444444444444444,0.200100075062555
"unbalanced","mix",10000,5,0,0,0,"Additive Logit Ratio",0.039,0.0723278171336114,0.0833333333333333,0.265334315252616
"unbalanced","mix",10000,5,0,0,0,"Additive New Logit Ratio",0.004,0.0196946385566932,0.692307692307692,0.480384461415261
"unbalanced","mix",10000,5,0,0,0,"Additive Power Ratio",0.001,0.01,0.5,0.707106781186548
"unbalanced","mix",10000,5,0,0,0,"Boxcox in Ratio - William",0.04,0.0791367567103066,0.120689655172414,0.317781720171058
"unbalanced","mix",10000,5,0,0,0,"CLR",0.12,0.109175051725163,0.00490196078431373,0.0404226041727222
"unbalanced","mix",10000,5,0,0,0,"Centered (New)Power Ratio",0.002,0.02,0.866666666666667,0.298142396999972
"unbalanced","mix",10000,5,0,0,0,"Centered Arcsine Ratio",0.172,0.11983153157494,0.00602409638554217,0.0548821299948452
"unbalanced","mix",10000,5,0,0,0,"Centered Logit Ratio",0.122,0.112438535397897,0.00483091787439614,0.0401286176952564
"unbalanced","mix",10000,5,0,0,0,"Centered New Logit Ratio",0.021,0.0518252697615612,0.25,0.429562346492112
"unbalanced","mix",10000,5,0,0,0,"Centered Power Ratio",0.003,0.0171446607997765,0,0
"unbalanced","mix",10000,5,0,0,0,"ILR",0.01,0.0333333333333333,0.920343137254902,0.231904752354219
"unbalanced","mix",10000,5,0,0,0,"New Boxcox in Ratio",0.043,0.0807227453457922,0.10752688172043,0.302912978265101
"balanced","mix",10000,5,0,0,0,"ALR",0.071,0.0890976084885775,0.0263333333333333,0.113593638638918
"balanced","mix",10000,5,0,0,0,"Additive (New)Power Ratio",0,0,1,NA
"balanced","mix",10000,5,0,0,0,"Additive Arcsine Ratio",0.169,0.118658324528024,0.016078431372549,0.0659408434393203
"balanced","mix",10000,5,0,0,0,"Additive Logit Ratio",0.078,0.090542695994651,0.0239393939393939,0.108476336592129
"balanced","mix",10000,5,0,0,0,"Additive New Logit Ratio",0.02,0.0426401432711221,0.242424242424242,0.383961778601266
"balanced","mix",10000,5,0,0,0,"Additive Power Ratio",0.001,0.01,0,NA
"balanced","mix",10000,5,0,0,0,"Boxcox in Ratio - William",0.068,0.0863163081375996,0.0217687074829932,0.110040190555156
"balanced","mix",10000,5,0,0,0,"CLR",0.116,0.104175454174797,0.0292792792792793,0.1389187100323
