"alpha","beta0","beta","q","transformation","mean_power","sd_power","mean_fdr","sd_fdr"
1,1,1,0,"ALR",0.2152,0.231553733101264,0.0370503441991445,0.119732173214293
1,1,1,0,"Additive (New)Power Ratio",0.2992,0.274872532441692,0.0463534255285263,0.141455784798194
1,1,1,0,"Additive Arcsine Ratio",0.2768,0.241254633074264,0.0497944910961921,0.154413156506082
1,1,1,0,"Additive Logit Ratio",0.2196,0.233687696282751,0.0363185841198684,0.118946507529115
1,1,1,0,"Additive New Logit Ratio",0.204,0.233757190782282,0.0441741784865231,0.12845680510967
1,1,1,0,"Additive Power Ratio",0.2852,0.273881490260059,0.0649451161274065,0.176238272850424
1,1,1,0,"Boxcox in Ratio - William",0.2136,0.230955503169863,0.0368382176818709,0.11955550339666
1,1,1,0,"CLR",0.0692,0.0491889779885246,0.491152882205514,0.284718516201825
1,1,1,0,"Centered (New)Power Ratio",0.1068,0.0607175943415602,0.435457752124419,0.257678675009688
1,1,1,0,"Centered Arcsine Ratio",0.0704,0.0472671325360638,0.618765577856487,0.213072910017659
1,1,1,0,"Centered Logit Ratio",0.07,0.0487002789696032,0.488467261904762,0.284476921320821
1,1,1,0,"Centered New Logit Ratio",0.0612,0.0483940058062959,0.499193948412698,0.325067239677031
1,1,1,0,"Centered Power Ratio",0.1168,0.0657340832214894,0.376875901875902,0.257052288330718
1,1,1,0,"ILR",0.0248,0.0203246379817922,0.8818170995671,0.114635215278518
1,1,1,0,"New Boxcox in Ratio",0.2248,0.237820405883401,0.0363211700858907,0.118063096244689
1,1,1,0.2,"ALR",0.0628,0.10142499841277,0.0312354312354312,0.105437928464419
1,1,1,0.2,"Additive (New)Power Ratio",0.0892,0.152114257960086,0.0359024635495224,0.106589725086986
1,1,1,0.2,"Additive Arcsine Ratio",0.0908,0.129627905712443,0.060757409554201,0.193432987398443
1,1,1,0.2,"Additive Logit Ratio",0.064,0.102966111910765,0.0376456876456876,0.113338442749849
1,1,1,0.2,"Additive New Logit Ratio",0.052,0.0896232293120664,0.0511638479723586,0.167169977776105
1,1,1,0.2,"Additive Power Ratio",0.0908,0.163284965008968,0.0369189342403628,0.105886870708672
1,1,1,0.2,"Boxcox in Ratio - William",0.0628,0.101265527553591,0.0312354312354312,0.105437928464419
1,1,1,0.2,"CLR",0.0228,0.0274167242331532,0.465384615384615,0.417938763252537
1,1,1,0.2,"Centered (New)Power Ratio",0.0464,0.0384424008331709,0.328571428571429,0.352345092839774
1,1,1,0.2,"Centered Arcsine Ratio",0.0224,0.0249896948457729,0.565625,0.405685193766831
1,1,1,0.2,"Centered Logit Ratio",0.024,0.0278524249529117,0.450757575757576,0.414217745064526
1,1,1,0.2,"Centered New Logit Ratio",0.0188,0.0250768515736821,0.458055555555556,0.432229054356606
1,1,1,0.2,"Centered Power Ratio",0.0436,0.0364461689663431,0.348072562358277,0.3705182284875
1,1,1,0.2,"ILR",0.0104,0.0193802982328952,0.856913367756741,0.27171231742068
