"alpha","beta0","beta","q","transformation","mean_power","sd_power","mean_fdr","sd_fdr"
1,1,1,0,"ALR",0.0108,0.0178478417335389,0.955089389255806,0.0894017520698344
1,1,1,0,"Additive (New)Power Ratio",0.0148,0.0224948927985932,0.950745318245067,0.118607416891236
1,1,1,0,"Additive Arcsine Ratio",0.0116,0.0199352487171377,0.949588679362576,0.134107567539408
1,1,1,0,"Additive Logit Ratio",0.0112,0.0180504343941685,0.954297039893501,0.0835240934235686
1,1,1,0,"Additive New Logit Ratio",0.0116,0.0222347439468917,0.935202898984512,0.147123354727266
1,1,1,0,"Additive Power Ratio",0.0152,0.0271352765293305,0.954148841908429,0.0735698299426443
1,1,1,0,"Boxcox in Ratio - William",0.0104,0.0176337600910723,0.955223088889506,0.0899342387838171
1,1,1,0,"CLR",0.0728,0.0434399620514372,0.448648313492063,0.260047677779848
1,1,1,0,"Centered (New)Power Ratio",0.1096,0.0547154254098218,0.433553391053391,0.215614738576329
1,1,1,0,"Centered Arcsine Ratio",0.0704,0.0368978935097188,0.575128266794933,0.201144634130607
1,1,1,0,"Centered Logit Ratio",0.074,0.0434381017871256,0.446887400793651,0.25478124969252
1,1,1,0,"Centered New Logit Ratio",0.0636,0.0410350921514597,0.467981150793651,0.299108926435993
1,1,1,0,"Centered Power Ratio",0.1188,0.056125400720713,0.350882734045999,0.188977241466631
1,1,1,0,"ILR",0.1972,0.0663641621675586,0.0966944444444444,0.109408800698961
1,1,1,0,"New Boxcox in Ratio",0.0112,0.0180504343941685,0.954987810028716,0.0825768340209752
1,1,1,0.2,"ALR",0.0016,0.0078778554226773,0.976343101343101,0.0807184401990541
1,1,1,0.2,"Additive (New)Power Ratio",0.0028,0.0102572959990497,0.979817708333333,0.0642554132303977
1,1,1,0.2,"Additive Arcsine Ratio",0.0032,0.0109063969737716,0.976423576423576,0.065871612711395
1,1,1,0.2,"Additive Logit Ratio",0.0016,0.0078778554226773,0.976343101343101,0.0807184401990541
1,1,1,0.2,"Additive New Logit Ratio",0.0012,0.00685786431991061,0.984320557491289,0.0581653938464624
1,1,1,0.2,"Additive Power Ratio",0.0024,0.00954733026303768,0.980792124542124,0.0672997782752323
1,1,1,0.2,"Boxcox in Ratio - William",0.0016,0.0078778554226773,0.976343101343101,0.0807184401990541
1,1,1,0.2,"CLR",0.0184,0.0275138165475112,0.60024154589372,0.428408026920133
1,1,1,0.2,"Centered (New)Power Ratio",0.04,0.0393892771133865,0.398945147679325,0.377693006189099
1,1,1,0.2,"Centered Arcsine Ratio",0.0204,0.028138187144121,0.663470319634703,0.368059827378214
1,1,1,0.2,"Centered Logit Ratio",0.0184,0.0275138165475112,0.613849765258216,0.42637253548024
1,1,1,0.2,"Centered New Logit Ratio",0.0152,0.0252854411737967,0.581818181818182,0.420504213403933
1,1,1,0.2,"Centered Power Ratio",0.038,0.0374435602209539,0.398945147679325,0.397000342419782
1,1,1,0.2,"ILR",0.0532,0.0440587303172903,0.0897435897435897,0.226639143497546
1,1,1,0.2,"New Boxcox in Ratio",0.0016,0.0078778554226773,0.978183831672204,0.0766654170835162
1,1,1,0.4,"ALR",0.002,0.0104446593573419,0.930902777777778,0.213882320778757
1,1,1,0.4,"Additive (New)Power Ratio",0.002,0.0104446593573419,0.947278911564626,0.192484686490504
1,1,1,0.4,"Additive Arcsine Ratio",0.0024,0.0111119191625366,0.968253968253968,0.0983035939179073
1,1,1,0.4,"Additive Logit Ratio",0.002,0.0104446593573419,0.930902777777778,0.213882320778757
1,1,1,0.4,"Additive New Logit Ratio",0.0012,0.00890806013414455,0.973333333333333,0.0848803767815218
1,1,1,0.4,"Additive Power Ratio",0.0016,0.00971513450158249,0.980505952380952,0.0539374572773421
1,1,1,0.4,"Boxcox in Ratio - William",0.002,0.0104446593573419,0.933666666666667,0.209834590941426
1,1,1,0.4,"CLR",0.0052,0.0135199067595852,0.662162162162162,0.472200140801518
1,1,1,0.4,"Centered (New)Power Ratio",0.018,0.0243708718337977,0.378787878787879,0.441488486600696
1,1,1,0.4,"Centered Arcsine Ratio",0.0072,0.0154449167866148,0.623931623931624,0.450337671745871
1,1,1,0.4,"Centered Logit Ratio",0.0056,0.0139494035207911,0.644736842105263,0.478001112981319
1,1,1,0.4,"Centered New Logit Ratio",0.0048,0.0130639452948436,0.607142857142857,0.478368037013322
1,1,1,0.4,"Centered Power Ratio",0.0124,0.0217942629834069,0.51063829787234,0.461571898554498
1,1,1,0.4,"ILR",0.0172,0.0236164640396774,0.116279069767442,0.324353006224288
1,1,1,0.4,"New Boxcox in Ratio",0.002,0.0104446593573419,0.939423076923077,0.202258878287589
1,1,1,0.6,"ALR",0.0012,0.012,0.987012987012987,0.0430730492253948
1,1,1,0.6,"Additive (New)Power Ratio",0.004,0.016575508280215,0.812843137254902,0.332853096054227
1,1,1,0.6,"Additive Arcsine Ratio",0.002,0.0164531781339372,0.895104895104895,0.300438983108509
1,1,1,0.6,"Additive Logit Ratio",0.0016,0.016,0.983471074380165,0.0548202444686843
1,1,1,0.6,"Additive New Logit Ratio",0.0016,0.0126107217489842,0.85625,0.349936218678286
1,1,1,0.6,"Additive Power Ratio",0.002,0.0131809473763221,0.917105263157895,0.244680242464796
1,1,1,0.6,"Boxcox in Ratio - William",0.0012,0.012,0.985,0.0474341649025257
1,1,1,0.6,"CLR",0.0024,0.00954733026303768,0.647058823529412,0.492592183071889
1,1,1,0.6,"Centered (New)Power Ratio",0.01,0.0183126605208947,0.279569892473118,0.429010698248272
1,1,1,0.6,"Centered Arcsine Ratio",0.0024,0.00954733026303768,0.676470588235294,0.465737871238621
1,1,1,0.6,"Centered Logit Ratio",0.0024,0.00954733026303768,0.647058823529412,0.492592183071889
1,1,1,0.6,"Centered New Logit Ratio",0.0036,0.0115049396505865,0.5,0.514495755427527
1,1,1,0.6,"Centered Power Ratio",0.0052,0.0135199067595852,0.434782608695652,0.506869801869702
1,1,1,0.6,"ILR",0.0044,0.0125786415094088,0.352941176470588,0.492592183071889
1,1,1,0.6,"New Boxcox in Ratio",0.0016,0.016,0.981818181818182,0.0574959574576069
1,1,1,0.8,"ALR",0.0012,0.012,0.9375,0.125
1,1,1,0.8,"Additive (New)Power Ratio",0.0048,0.0307640088809024,0.773879142300195,0.345205748289676
1,1,1,0.8,"Additive Arcsine Ratio",0.0016,0.016,0.962962962962963,0.0907218423253029
1,1,1,0.8,"Additive Logit Ratio",0.0012,0.012,0.942307692307692,0.115384615384615
1,1,1,0.8,"Additive New Logit Ratio",0.00186046511627907,0.0135916607570254,0.75,0.433012701892219
1,1,1,0.8,"Additive Power Ratio",0.0012,0.012,0.945454545454545,0.121967344227261
1,1,1,0.8,"Boxcox in Ratio - William",0.0012,0.012,0.931818181818182,0.136363636363636
1,1,1,0.8,"CLR",8e-04,0.00562821176545159,0.7,0.447213595499958
1,1,1,0.8,"Centered (New)Power Ratio",0.0032,0.0109063969737716,0.5625,0.478713553878169
1,1,1,0.8,"Centered Arcsine Ratio",4e-04,0.004,0.5,0.707106781186548
1,1,1,0.8,"Centered Logit Ratio",8e-04,0.00562821176545159,0.7,0.447213595499958
1,1,1,0.8,"Centered New Logit Ratio",0.00162162162162162,0.00794277944296114,0.5,0.5
1,1,1,0.8,"Centered Power Ratio",0.0012,0.00685786431991061,0.75,0.424918292799399
1,1,1,0.8,"ILR",8e-04,0.00562821176545159,0.333333333333333,0.577350269189626
1,1,1,0.8,"New Boxcox in Ratio",0.0024,0.024,0.933333333333333,0.149071198499986
1,1,3,0,"ALR",0.0408,0.008,0.960851648351648,0.00686813186813187
1,1,3,0,"Additive (New)Power Ratio",0.0468,0.0205421468688109,0.955634324168807,0.0176113166613786
1,1,3,0,"Additive Arcsine Ratio",0.04,0,0.961523076923077,0.00015384615384616
1,1,3,0,"Additive Logit Ratio",0.0408,0.008,0.960851648351648,0.00686813186813187
1,1,3,0,"Additive New Logit Ratio",0.0468,0.0205421468688109,0.955618939553422,0.0176067783087496
1,1,3,0,"Additive Power Ratio",0.046,0.0191748994176441,0.95632113735562,0.0164385608777667
1,1,3,0,"Boxcox in Ratio - William",0.0408,0.008,0.960851648351648,0.00686813186813187
1,1,3,0,"CLR",0.9772,0.0285713708513125,0.500297323539345,0.00976300694208132
1,1,3,0,"Centered (New)Power Ratio",0.976,0.0359573259980396,0.500776517082319,0.0126302848425488
1,1,3,0,"Centered Arcsine Ratio",0.688,0.0719146519960791,0.588226947725225,0.024437569217088
1,1,3,0,"Centered Logit Ratio",0.9764,0.0295938841620694,0.500816507454045,0.00978132634469612
1,1,3,0,"Centered New Logit Ratio",0.8832,0.0598125016491983,0.510589535877808,0.0203824785271426
1,1,3,0,"Centered Power Ratio",1,0,0.473271983367923,0.0185414235731477
1,1,3,0,"ILR",0.9572,0.0102572959990497,0.0408551282051282,0.00519610114000482
1,1,3,0,"New Boxcox in Ratio",0.0412,0.00890806013414455,0.960495522995523,0.00770452061194214
1,1,3,0.2,"ALR",0.0376,0.0111119191625366,0.961707872145354,0.012772956388807
1,1,3,0.2,"Additive (New)Power Ratio",0.04,0.0080403025220737,0.960472806098893,0.0106838795206804
1,1,3,0.2,"Additive Arcsine Ratio",0.0368,0.0135497586545281,0.956475655810963,0.0413242931034862
1,1,3,0.2,"Additive Logit Ratio",0.0376,0.0111119191625366,0.961796546613824,0.012701695213727
1,1,3,0.2,"Additive New Logit Ratio",0.0344,0.0161006932531591,0.959423322298093,0.0335908504173357
1,1,3,0.2,"Additive Power Ratio",0.0404,0.00695149137403135,0.961055581455581,0.00642961045241155
1,1,3,0.2,"Boxcox in Ratio - William",0.0372,0.0102572959990497,0.962090057351452,0.0117912723071008
1,1,3,0.2,"CLR",0.3888,0.0800161599840048,0.656518016911156,0.0422535812542906
1,1,3,0.2,"Centered (New)Power Ratio",0.822,0.0879623427233139,0.460226245615152,0.0436594749225738
1,1,3,0.2,"Centered Arcsine Ratio",0.2792,0.0734665456744315,0.740663698464692,0.050597410776526
1,1,3,0.2,"Centered Logit Ratio",0.3936,0.0783094096284963,0.655586261739498,0.0409207323336951
1,1,3,0.2,"Centered New Logit Ratio",0.2908,0.0688972298632411,0.666426110334094,0.0546626349165919
1,1,3,0.2,"Centered Power Ratio",0.978,0.0308138759245725,0.392526237904269,0.0294381444512743
1,1,3,0.2,"ILR",0.674,0.0731126155013931,0.0565006117893115,0.0118149904039783
1,1,3,0.2,"New Boxcox in Ratio",0.0384,0.00971513450158249,0.959976779545143,0.0194011128376875
1,1,3,0.4,"ALR",0.0224,0.0215143832555964,0.958606587222179,0.107155357622305
1,1,3,0.4,"Additive (New)Power Ratio",0.0408,0.056276374288242,0.933764303502957,0.142097808107763
1,1,3,0.4,"Additive Arcsine Ratio",0.0228,0.0206988995950134,0.949076354796509,0.123836457671471
1,1,3,0.4,"Additive Logit Ratio",0.0228,0.0214654996859537,0.958668349642395,0.1068830673839
1,1,3,0.4,"Additive New Logit Ratio",0.02,0.0223832549243871,0.942529150186536,0.134679100816364
