"Method","Power","FDR","Power_sd","FDR_sd","eta","q"
"t",0.4172,0.0252,0.10378766202145,0.0324886926716843,-0.7,0
"logit_t",0.8552,0.0344,0.0688796344386644,0.036854066562894,-0.7,0
"log_t",0.8552,0.0336,0.0688796344386644,0.03627949862115,-0.7,0
"tangent_t",0.0024,0.002,0.00954733026303768,0.00876171654230361,-0.7,0
"arcsine_t",0.6256,0.0316,0.0960673164657434,0.0351826403474523,-0.7,0
"wilcoxon",0.8076,0.0336,0.0742792982022188,0.0371597697093037,-0.7,0
"dual_group_logit_t",0.8552,0.036,0.0688796344386644,0.0383497988352882,-0.7,0
"dual_group_boxcox_t",0.8392,0.0356,0.0752058454637616,0.038933250311244,-0.7,0
"boxcox_t",0.834,0.0356,0.0728912293292637,0.038933250311244,-0.7,0
"t",0.312,0.0176,0.0878934157104645,0.0249896948457729,-0.7,0.1
"logit_t",0.474,0.0216,0.104117261010862,0.0275138165475112,-0.7,0.1
"log_t",0.474,0.0216,0.104117261010862,0.0275138165475112,-0.7,0.1
"tangent_t",0.0272,0.0156,0.032600427585967,0.0253588388352209,-0.7,0.1
"arcsine_t",0.4688,0.0216,0.0981575727639446,0.028095076674274,-0.7,0.1
"wilcoxon",0.5576,0.0216,0.0966208878017375,0.0275138165475112,-0.7,0.1
"dual_group_logit_t",0.5476,0.024,0.0994034733047619,0.0289897230135791,-0.7,0.1
"dual_group_boxcox_t",0.5644,0.024,0.0968005342668285,0.0289897230135791,-0.7,0.1
"boxcox_t",0.5612,0.024,0.0963922961002318,0.0289897230135791,-0.7,0.1
"t",0.252,0.0116,0.0885346476718795,0.0191073522260649,-0.7,0.2
"logit_t",0.3004,0.026,0.106741640318002,0.0302848430270279,-0.7,0.2
"log_t",0.3004,0.026,0.106741640318002,0.0302848430270279,-0.7,0.2
"tangent_t",0.0332,0.022,0.0326870684590167,0.0274873708374511,-0.7,0.2
"arcsine_t",0.356,0.0168,0.108841465657463,0.0235650828836466,-0.7,0.2
"wilcoxon",0.362,0.0208,0.108077787175756,0.0298033961863816,-0.7,0.2
"dual_group_logit_t",0.3908,0.0236,0.1100750891552,0.0327068398616768,-0.7,0.2
"dual_group_boxcox_t",0.3624,0.0244,0.107093087045473,0.0326078629669705,-0.7,0.2
"boxcox_t",0.3664,0.024,0.108576835894814,0.032659863237109,-0.7,0.2
"t",0.1884,0.0172,0.0763394863207578,0.0255872442968576,-0.7,0.3
"logit_t",0.2116,0.0312,0.0694672366637465,0.0329456240100888,-0.7,0.3
"log_t",0.2116,0.0312,0.0694672366637465,0.0329456240100888,-0.7,0.3
