"eta","q","transformation","metric","group","mean","sd"
-0.5,0,"original","skewness","A",1.74726625049936,0.0666598528712871
-0.5,0,"original","skewness","B",2.03076225006603,0.0798438521954874
-0.5,0,"original","kurtosis","A",6.0844058411384,0.368743108781445
-0.5,0,"original","kurtosis","B",7.6009398748868,0.528309471095054
-0.5,0,"logit","skewness","A",-0.965899544217015,0.0493069080365537
-0.5,0,"logit","skewness","B",-0.754644102777435,0.0479813690448252
-0.5,0,"logit","kurtosis","A",3.93764074303796,0.171034804952437
-0.5,0,"logit","kurtosis","B",3.27336188184172,0.160925827155223
-0.5,0,"log","skewness","A",-1.1426551438294,0.049637951344673
-0.5,0,"log","skewness","B",-0.900572773154211,0.0494723668414024
-0.5,0,"log","kurtosis","A",4.24452042057809,0.202178187550027
-0.5,0,"log","kurtosis","B",3.49873852730729,0.190534489886641
-0.5,0,"tangent","skewness","A",-5.13328216836946,0.163462497406187
-0.5,0,"tangent","skewness","B",-3.90518256641178,0.147202898589295
-0.5,0,"tangent","kurtosis","A",30.3983050955034,1.63549242942443
-0.5,0,"tangent","kurtosis","B",20.560304227853,1.27144634792577
-0.5,0,"arcsine","skewness","A",0.837541179633273,0.0433818985260675
-0.5,0,"arcsine","skewness","B",1.03425885455769,0.0462680054063875
-0.5,0,"arcsine","kurtosis","A",3.24449717002384,0.139373146165233
-0.5,0,"arcsine","kurtosis","B",3.77968867937384,0.193671383436144
-0.5,0,"dual_group_logit","skewness","A",-0.716077661652873,0.0327448584570254
-0.5,0,"dual_group_logit","skewness","B",-0.506259137452675,0.0309647860760908
-0.5,0,"dual_group_logit","kurtosis","A",3.13353417460785,0.0830172487068628
-0.5,0,"dual_group_logit","kurtosis","B",2.48593300493337,0.0553793093419145
-0.5,0,"dual_group_boxcox","skewness","A",-0.238137212089843,0.021880581562022
-0.5,0,"dual_group_boxcox","skewness","B",-0.0609517755513593,0.0197095456510216
-0.5,0,"dual_group_boxcox","kurtosis","A",2.35999698012511,0.0387150422291283
-0.5,0,"dual_group_boxcox","kurtosis","B",2.14712896173213,0.0349807864401134
-0.5,0,"boxcox","skewness","A",-0.211158121764551,0.02803488504483
-0.5,0,"boxcox","skewness","B",-0.035905313920384,0.0251754137689741
-0.5,0,"boxcox","kurtosis","A",2.35570218505678,0.0391108937521885
-0.5,0,"boxcox","kurtosis","B",2.1653305960067,0.0383782773898542
-0.5,0.3,"original","skewness","A",2.15128285928987,0.0791791929962772
-0.5,0.3,"original","skewness","B",2.43214518394479,0.093259988307356
-0.5,0.3,"original","kurtosis","A",7.8750195056347,0.504431177896442
-0.5,0.3,"original","kurtosis","B",9.58520584676097,0.676617928573078
-0.5,0.3,"logit","skewness","A",-0.372772905425158,0.0343104185041757
-0.5,0.3,"logit","skewness","B",-0.181557990092871,0.0393426893427213
-0.5,0.3,"logit","kurtosis","A",1.5987235979842,0.0446879828352211
-0.5,0.3,"logit","kurtosis","B",1.59773283034937,0.041267537166419
-0.5,0.3,"log","skewness","A",-0.410602755331941,0.0352674155066644
-0.5,0.3,"log","skewness","B",-0.216020254899575,0.0402358222545581
-0.5,0.3,"log","kurtosis","A",1.58593322241234,0.0467154511310245
-0.5,0.3,"log","kurtosis","B",1.57567845575116,0.0429250010457054
-0.5,0.3,"tangent","skewness","A",-0.828686025406654,0.0453857082406176
-0.5,0.3,"tangent","skewness","B",-0.685404822992733,0.0518251553383684
-0.5,0.3,"tangent","kurtosis","A",1.82145820560127,0.0851228281992115
-0.5,0.3,"tangent","kurtosis","B",1.64224729312486,0.0841357052998826
-0.5,0.3,"arcsine","skewness","A",1.09618058007455,0.0460448531990178
-0.5,0.3,"arcsine","skewness","B",1.32720832812175,0.053793131236571
-0.5,0.3,"arcsine","kurtosis","A",3.61346908058506,0.181252122536752
-0.5,0.3,"arcsine","kurtosis","B",4.44186365440518,0.250192048680136
-0.5,0.3,"dual_group_logit","skewness","A",-0.372772905425158,0.0343104185041757
-0.5,0.3,"dual_group_logit","skewness","B",-0.181557990092871,0.0393426893427213
-0.5,0.3,"dual_group_logit","kurtosis","A",1.5987235979842,0.0446879828352211
-0.5,0.3,"dual_group_logit","kurtosis","B",1.59773283034937,0.041267537166419
-0.5,0.3,"dual_group_boxcox","skewness","A",-0.250920911509962,0.0256080779008107
-0.5,0.3,"dual_group_boxcox","skewness","B",-0.0563190262059386,0.0290668934772364
-0.5,0.3,"dual_group_boxcox","kurtosis","A",1.52932014160625,0.0313799281634362
-0.5,0.3,"dual_group_boxcox","kurtosis","B",1.53479362737218,0.0275869467059418
-0.5,0.3,"boxcox","skewness","A",-0.256855169372473,0.0263833461591504
-0.5,0.3,"boxcox","skewness","B",-0.0629574327201483,0.0318265772363173
-0.5,0.3,"boxcox","kurtosis","A",1.53323920015071,0.0311204542282581
-0.5,0.3,"boxcox","kurtosis","B",1.53446471776635,0.0288366987282963
-0.5,0.5,"original","skewness","A",2.58509621228279,0.0946833286205323
-0.5,0.5,"original","skewness","B",2.89490625194052,0.102775615558506
-0.5,0.5,"original","kurtosis","A",10.0866816574883,0.662452001427147
-0.5,0.5,"original","kurtosis","B",12.3014085933206,0.81795870530024
-0.5,0.5,"logit","skewness","A",0.320975443199824,0.0416107718118656
-0.5,0.5,"logit","skewness","B",0.4760595229305,0.03992986872626
-0.5,0.5,"logit","kurtosis","A",1.42150204162372,0.0382513464973172
-0.5,0.5,"logit","kurtosis","B",1.63998609496469,0.0494960705235626
-0.5,0.5,"log","skewness","A",0.297116706725575,0.0416601935393144
-0.5,0.5,"log","skewness","B",0.453338973496986,0.040166933064775
-0.5,0.5,"log","kurtosis","A",1.37698193438637,0.0358847389591945
-0.5,0.5,"log","kurtosis","B",1.5901954505315,0.0478112978045667
-0.5,0.5,"tangent","skewness","A",0.0429685868981769,0.0416539361684185
-0.5,0.5,"tangent","skewness","B",0.137580720434814,0.0420198568982383
-0.5,0.5,"tangent","kurtosis","A",1.09363912114055,0.0216467131839997
-0.5,0.5,"tangent","kurtosis","B",1.13196617834011,0.0253377254880279
-0.5,0.5,"arcsine","skewness","A",1.52765764959314,0.05968113598814
-0.5,0.5,"arcsine","skewness","B",1.77631655582745,0.0668421122042248
-0.5,0.5,"arcsine","kurtosis","A",4.74182683745138,0.26320131850594
-0.5,0.5,"arcsine","kurtosis","B",5.93218449738923,0.375531063489599
-0.5,0.5,"dual_group_logit","skewness","A",0.320975443199824,0.0416107718118656
-0.5,0.5,"dual_group_logit","skewness","B",0.4760595229305,0.03992986872626
-0.5,0.5,"dual_group_logit","kurtosis","A",1.42150204162372,0.0382513464973172
-0.5,0.5,"dual_group_logit","kurtosis","B",1.63998609496469,0.0494960705235626
-0.5,0.5,"dual_group_boxcox","skewness","A",0.197658206846586,0.0369223362671954
-0.5,0.5,"dual_group_boxcox","skewness","B",0.334041540389442,0.0361783292839266
-0.5,0.5,"dual_group_boxcox","kurtosis","A",1.22957610923137,0.0213471227370542
-0.5,0.5,"dual_group_boxcox","kurtosis","B",1.35859636872604,0.0300638887586374
-0.5,0.5,"boxcox","skewness","A",0.198344927973514,0.037226807319754
-0.5,0.5,"boxcox","skewness","B",0.334283950145601,0.0352672433585397
-0.5,0.5,"boxcox","kurtosis","A",1.23083828054011,0.0223030919582111
-0.5,0.5,"boxcox","kurtosis","B",1.35862636839092,0.0297038821245083
-0.5,0.7,"original","skewness","A",3.37725386797674,0.127776536353286
-0.5,0.7,"original","skewness","B",3.63968221674434,0.12606567181714
-0.5,0.7,"original","kurtosis","A",15.2162948744101,1.06486707776544
-0.5,0.7,"original","kurtosis","B",17.3738033334864,1.10142277676617
-0.5,0.7,"logit","skewness","A",1.17405746141841,0.052001542635192
-0.5,0.7,"logit","skewness","B",1.30994259818437,0.054998876053967
-0.5,0.7,"logit","kurtosis","A",2.74516884793927,0.144062214467823
-0.5,0.7,"logit","kurtosis","B",3.21916113809065,0.1911381856876
-0.5,0.7,"log","skewness","A",1.15477920704321,0.0517728417280347
-0.5,0.7,"log","skewness","B",1.29090770587264,0.0549829358879282
-0.5,0.7,"log","kurtosis","A",2.67095166506013,0.140344265842134
-0.5,0.7,"log","kurtosis","B",3.13952825340171,0.187972934722044
-0.5,0.7,"tangent","skewness","A",0.947442777436262,0.0499504143225538
