"Method","Power","FDR","Power_sd","FDR_sd","eta","q"
"t",0.3952,0.0208,0.109548937452491,0.0298033961863816,-0.7,0
"logit_t",0.8368,0.0276,0.0707089638996187,0.0320075748610364,-0.7,0
"log_t",0.8368,0.0268,0.0707089638996187,0.0321888367624742,-0.7,0
"tangent_t",0.0024,0.0032,0.00954733026303768,0.0109063969737716,-0.7,0
"arcsine_t",0.5948,0.0264,0.11323061298594,0.0317668272437037,-0.7,0
"wilcoxon",0.7948,0.0264,0.0791173530621162,0.0312539290459309,-0.7,0
"dual_group_logit_t",0.8372,0.03,0.0706117568257595,0.0323491058062607,-0.7,0
"dual_group_boxcox_t",0.74,0.0296,0.0898033766884434,0.032471277128931,-0.7,0
"boxcox_t",0.8252,0.0276,0.075350762263811,0.0320075748610364,-0.7,0
"t",0.318,0.0144,0.0938298481510037,0.0244668400621384,-0.7,0.1
"logit_t",0.4632,0.018,0.105168263446553,0.0256629277087759,-0.7,0.1
"log_t",0.4632,0.018,0.105168263446553,0.0256629277087759,-0.7,0.1
"tangent_t",0.0256,0.0124,0.0357409308974198,0.020256935462785,-0.7,0.1
"arcsine_t",0.4752,0.018,0.0983549539662185,0.0262851496269108,-0.7,0.1
"wilcoxon",0.55,0.02,0.101762250149825,0.0269679944985297,-0.7,0.1
"dual_group_logit_t",0.5408,0.0212,0.0998552487707617,0.0275343678725591,-0.7,0.1
"dual_group_boxcox_t",0.5192,0.0212,0.106815048309939,0.0281152031197473,-0.7,0.1
"boxcox_t",0.5532,0.0184,0.10375651373005,0.0275138165475112,-0.7,0.1
"t",0.2576,0.014,0.089950828318318,0.0215556596894288,-0.7,0.2
"logit_t",0.302,0.0296,0.0851617593320221,0.0334519103046493,-0.7,0.2
"log_t",0.302,0.0296,0.0851617593320221,0.0334519103046493,-0.7,0.2
"tangent_t",0.0268,0.0248,0.0321888367624742,0.0310255678205228,-0.7,0.2
"arcsine_t",0.3572,0.0208,0.0915421192455123,0.028129570335729,-0.7,0.2
"wilcoxon",0.3596,0.0256,0.094022563378385,0.0298250792712333,-0.7,0.2
"dual_group_logit_t",0.3988,0.0256,0.0936712497530755,0.0303621241987214,-0.7,0.2
"dual_group_boxcox_t",0.3524,0.0276,0.0891159725619183,0.0304551334181145,-0.7,0.2
"boxcox_t",0.3676,0.0272,0.0933670934613161,0.03055314958388,-0.7,0.2
"t",0.188,0.0164,0.0763828739597001,0.0241844761962894,-0.7,0.3
"logit_t",0.19,0.0248,0.0724464274376925,0.0340077234246171,-0.7,0.3
"log_t",0.19,0.0248,0.0724464274376925,0.0340077234246171,-0.7,0.3
"tangent_t",0.0268,0.0224,0.0355300413507195,0.0313055970082093,-0.7,0.3
"arcsine_t",0.2556,0.0216,0.0779318531627071,0.0263128036583644,-0.7,0.3
"wilcoxon",0.2248,0.0252,0.0732020864084177,0.0348874090916955,-0.7,0.3
"dual_group_logit_t",0.2772,0.0248,0.0824385905515203,0.0349452674502817,-0.7,0.3
"dual_group_boxcox_t",0.222,0.0244,0.0699494767166223,0.0335845082131508,-0.7,0.3
"boxcox_t",0.2312,0.0244,0.0731579169200491,0.0335845082131508,-0.7,0.3
"t",0.1364,0.0156,0.0710316475206295,0.0266029541915399,-0.7,0.4
"logit_t",0.1312,0.0284,0.0684795921823031,0.035639043395431,-0.7,0.4
"log_t",0.1312,0.0284,0.0684795921823031,0.035639043395431,-0.7,0.4
