"Transformation","Overlap","DESeq2_Only","T_Test_Only"
"ALR",14,84,13
"CLR",34,64,43
"Additive Power Contrast",0,98,0
"Centered Power Contrast",4,94,7
"Additive Logit Contrast",14,84,13
"Centered Logit Contrast",34,64,43
"Additive Arcsine Contrast",6,92,5
"Centered Arcsine Contrast",36,62,37
"Additive Dual Group Logit Contrast",3,95,1
"Centered Dual Group Logit Contrast",8,90,10
"Additive Dual Group Power Contrast",0,98,0
"Centered Dual Group Power Contrast",0,98,2
"ILR",0,98,54
"Boxcox in Ratio",11,87,12
"Dual Group Boxcox in Ratio",0,98,25
